"","Fecha","ISS_acumulado_China","ISS_diario_China","ISS_acumulado_Espana","ISS_diario_Espana","ISS_acumulado_Italia","ISS_diario_Italia","ISS_acumulado_Francia","ISS_diario_Francia","ISS_acumulado_Alemania","ISS_diario_Alemania","ISS_acumulado_Iran","ISS_diario_Iran","ISS_acumulado_CoreaSur","ISS_diario_CoreaSur","ISS_acumulado_EEUU","ISS_diario_EEUU","ISS_acumulado_Europa","ISS_diario_Europa"
"32",2020-02-22,32.65,2.89,NA,NA,4.84,0.05,41.67,1,87.5,1,17.86,0.1,4.16,0.04,14.29,1,25.53,0.05
"33",2020-02-23,33.28,23.33,NA,NA,3.23,0.02,41.67,1,87.5,1,18.6,0.2,3.99,0.04,14.29,1,13.9,0.02
"34",2020-02-24,35.75,9.03,NA,NA,3.49,0.05,41.67,1,87.5,1,19.67,0.22,3.12,0.01,9.43,0.5,11.11,0.05
"35",2020-02-25,39.02,5.32,NA,NA,3.42,0.03,85.71,3.5,82.35,0.1,16.84,0.12,3.28,0.04,11.32,1,10.8,0.1
"36",2020-02-26,41.96,5.97,NA,NA,3.31,0.03,72.22,0.25,55.56,0.1,48.92,1.18,2.7,0.01,10.17,0.5,8.72,0.04
"37",2020-02-27,45.39,6.62,NA,NA,9.47,0.23,34.21,0.02,34.78,0.05,30.61,0.07,1.98,0,10,0.5,12.1,0.19
"38",2020-02-28,49.56,10.5,NA,NA,7.55,0.02,22.81,0.02,33.33,0.01,27.58,0.22,1.5,0.01,11.29,0.5,9.46,0.02
"39",2020-02-29,53.12,7.1,NA,NA,6.65,0.03,14,0.02,20.25,0.01,27.99,0.29,1.37,0.01,11.43,0.12,7.69,0.03
"40",2020-03-01,56.34,4.99,2.38,0.02,6.91,0.07,10.77,0.02,12.31,0.01,23.42,0.16,1.26,0.01,10.53,0.2,7.15,0.06
"41",2020-03-02,59.61,13.4,1.67,0.02,9.87,0.25,7.85,0.02,10.06,0.01,23.78,0.24,1.34,0.02,12.87,0.2,9.09,0.17
"42",2020-03-03,62.79,21.03,1.82,0.02,9.55,0.08,7.84,0.08,8.16,0.01,15.75,0.01,1.12,0.04,12.3,0.1,8.77,0.07
"43",2020-03-04,65.91,20.7,1.8,0.02,12.4,0.25,5.61,0.02,6.11,0.01,22.04,0.47,1.35,0.04,12.42,0.13,10.45,0.16
"44",2020-03-05,68.67,15.38,1.93,0.03,14.57,0.23,4.77,0.02,3.32,0.01,24.08,0.34,1.25,0.2,9.05,0.01,11.23,0.14
"45",2020-03-06,70.63,10.99,1.75,0.01,15.53,0.2,3.22,0.01,2.54,0.01,21.85,0.15,2.68,0.2,7.91,0.04,11.05,0.1
"46",2020-03-07,72.57,20.29,8,0.33,13.97,0.08,2.42,0.01,2.25,0.01,31.15,0.72,2.54,0,6,0.02,9.78,0.05
"47",2020-03-08,74.84,35.42,6.98,0.04,13.4,0.11,2.75,0.05,1.73,0.01,35.46,0.69,2.3,0.02,5.4,0.03,9.34,0.08
"48",2020-03-09,76.59,38.89,5.59,0.03,12.94,0.11,2.56,0.02,1.7,0.01,36.74,0.51,2.29,0.02,4.96,0.01,9.25,0.09
"49",2020-03-10,78.28,81.35,3.95,0.01,13.35,0.17,2.52,0.02,1.37,0.02,37.58,0.44,4.01,3.71,3.75,0.02,8.88,0.07
"50",2020-03-11,80.08,33.98,10.41,0.29,15.02,0.22,2.63,0.03,1.47,0.02,36.81,0.3,4.49,0.19,3.43,0.02,9.57,0.12
"51",2020-03-12,81.64,115.27,9.15,0.05,15.02,1,2.63,1,1.35,0.02,33.63,0.07,5.07,0.45,3.13,0.02,9.26,0.01
"52",2020-03-13,83.24,100.23,6.23,0.02,15.32,0.16,2.49,0.02,1.44,0.02,30.56,0.07,7.22,1.61,2.71,0.01,8.89,0.08
"53",2020-03-14,85.03,46.16,11.14,0.33,16.1,0.2,2.3,0.01,1.2,0,28.05,0.07,7.2,0.06,2.42,0.01,9.23,0.11
"54",2020-03-15,86.69,52.58,10.34,0.07,16.75,0.21,2.29,0.03,0.98,0,38.13,1.44,7.17,0.04,2.14,0.01,9.5,0.11
"55",2020-03-16,87.78,30.23,8.77,0.03,17.54,0.24,2.41,0.03,1.16,0.02,36.31,0.12,14.72,8.47,2.2,0.02,9.65,0.1
"56",2020-03-17,88.86,36.04,13.29,0.38,17.28,0.15,2.09,0.05,0.98,0,39.44,0.79,17.88,3.29,1.95,0.01,9.24,0.07
"57",2020-03-18,90.01,22,12.25,0.07,19.61,0.37,1.77,0.05,1.08,0.01,37.58,0.12,19.3,1.46,2.88,0.07,10.08,0.15
"58",2020-03-19,90.92,14.59,10.78,0.06,19.12,0.16,2.35,0.05,1.02,0.01,38,0.45,19.04,0.05,2.25,0.01,9.67,0.08
"59",2020-03-20,91.72,7.82,12.89,0.28,18.02,0.1,3.66,0.12,1.24,0.02,41.63,0.96,18.89,0.03,2.05,0.02,9.14,0.06
"60",2020-03-21,92.39,10.85,13.79,0.18,20.34,0.37,4.02,0.07,1.43,0.03,44.59,1.05,18.66,0.05,1.88,0.01,10.28,0.18
"61",2020-03-22,92.91,5.55,15.11,0.25,21.14,0.29,17.94,1.32,1.45,0.02,44.44,0.41,33.87,13.99,1.79,0.02,12.14,0.27
"62",2020-03-23,93.37,4.71,16.13,0.21,21.13,0.21,15.4,0.05,1.98,0.05,44.2,0.41,36.57,4.12,1.26,0.01,11.79,0.09
"63",2020-03-24,93.84,4.93,16.55,0.2,21.89,0.31,19.64,0.54,10.31,0.72,43.72,0.37,40.14,4.61,1.96,0.05,13.89,0.31
"64",2020-03-25,94.36,7.1,18.2,0.25,22.67,0.33,20.73,0.29,10.06,0.08,43.31,0.39,42.2,2.29,1.98,0.02,14.14,0.16
"65",2020-03-26,94.73,3.42,19.69,0.29,23.05,0.28,22.79,0.36,13.52,0.33,43.16,0.41,46.26,4.03,2.25,0.03,15.02,0.21
"66",2020-03-27,95.26,4.73,22.06,0.39,23.22,0.26,23.34,0.28,13.76,0.15,41.79,0.28,50.01,4.31,2.41,0.03,15.61,0.2
"67",2020-03-28,95.61,3.75,24.94,0.5,24.23,0.39,21.33,0.07,15.45,0.28,40.09,0.22,52.28,1.97,2.55,0.03,15.81,0.17
"68",2020-03-29,96.06,3.96,26.95,0.53,24.37,0.27,24.41,0.69,15.69,0.19,39.24,0.29,54.11,2.19,3.64,0.1,16.36,0.23
"69",2020-03-30,96.39,4.54,28.31,0.45,25.76,0.59,24.58,0.26,21.15,0.92,40.17,0.51,55.75,2.58,5.33,0.17,17.9,0.38
"70",2020-03-31,96.64,3.51,29.07,0.36,26.62,0.48,24.88,0.27,23.5,0.55,39.35,0.28,56.92,1.47,5.79,0.09,18.78,0.29
"71",2020-04-01,96.79,2.51,31.04,0.55,27.13,0.39,26.26,0.41,25.2,0.45,38.89,0.32,57.98,1.6,6.2,0.09,20.05,0.35
"72",2020-04-02,96.91,2.34,33.33,0.62,27.94,0.47,30.14,1.35,27.77,0.57,39.37,0.47,60.11,2.98,6.13,0.06,21.63,0.43
"73",2020-04-03,97.06,2.52,35.21,0.63,28.74,0.49,31.89,0.52,28.36,0.36,39.92,0.5,61.57,2.3,6.09,0.06,22.46,0.33
"74",2020-04-04,97.25,5.94,36.85,0.64,29.17,0.4,25.57,0.1,28.98,0.4,41.6,0.77,64.02,3.27,7.47,0.19,22.36,0.22
"75",2020-04-05,97.5,4.47,38.62,0.75,29.24,0.31,26.13,0.44,30.25,0.61,40.08,0.06,64.92,1.78,8.03,0.14,22.63,0.27
"76",2020-04-06,97.56,1.67,39.61,0.7,29.7,0.46,26.69,0.37,29.51,0.07,46.24,2.04,65.97,2.94,8.28,0.11,23.03,0.31
"77",2020-04-07,97.61,1.89,40.57,0.64,30.62,0.71,27.2,0.32,35.39,1.77,49.39,1.41,66.65,2.17,8.7,0.14,24.63,0.51
"78",2020-04-08,97.7,1.75,42.66,0.9,31.67,0.69,28.44,0.63,42.94,1.87,52.34,1.45,67.18,1.7,8.92,0.11,26.61,0.65
"79",2020-04-09,97.75,1.54,44.21,0.84,32.55,0.62,30.08,0.69,46.55,1.3,55,1.6,68.86,5.15,9.08,0.11,27.91,0.54
"80",2020-04-10,97.82,1.95,45.54,0.9,33.41,0.65,30.54,0.38,46.39,0.42,58.21,1.66,70.1,5.48,9.54,0.16,28.06,0.31
"81",2020-04-11,97.84,1.22,46.62,0.82,34.15,0.57,31.02,0.44,48.14,1.27,66.12,3.6,71.13,4.3,9.83,0.15,28.67,0.43
